cno4,pdf_title_line,pdf_page,sepe_title,in_pdf,in_sepe
4113,"Empleados de oficina de servicios estadísticos, financieros y bancarios",183,"Empleados de oficina de servicios estadísticos, financieros y bancarios",True,True
4121,Empleados de control de abastecimientos e inventario,183,Empleados de control de abastecimientos e inventario,True,True
4122,Empleados de oficina de servicios de apoyo a la producción,184,Empleados de oficina de servicios de apoyo a la producción,True,True
4123,Empleados de logística y transporte de pasajeros y mercancías,185,Empleados de logística y transporte de pasajeros y mercancías,True,True
4210,Empleados de bibliotecas y archivos,185,Empleados de bibliotecas y archivos,True,True
4221,Empleados de servicios de correos (excepto empleados de mostrador),186,Empleados de servicios de correos (excepto empleados de mostrador),True,True
4222,Codificadores y correctores de imprenta,187,Codificadores y correctores de imprenta,True,True
4223,Empleados de servicio de personal,187,Empleados de servicio de personal,True,True
4301,Grabadores de datos,188,Grabadores de datos,True,True
4309,Empleados administrativos sin tareas de atención al público no clasificados,188,Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes,True,True
4411,Empleados de información al usuario,189,Empleados de información al usuario,True,True
4412,Recepcionistas (excepto de hoteles),190,Recepcionistas (excepto de hoteles),True,True
4421,Empleados de agencias de viajes,190,Empleados de agencias de viajes,True,True
4422,Recepcionistas de hoteles,191,Recepcionistas de hoteles,True,True
4423,Telefonistas,192,Telefonistas,True,True
4424,Teleoperadores,192,Teleoperadores,True,True
4430,Agentes de encuestas,193,Agentes de encuestas,True,True
4441,Cajeros de bancos y afines,193,Cajeros de bancos y afines,True,True
4442,Empleados de venta de apuestas,194,Empleados de venta de apuestas,True,True
4443,Empleados de sala de juegos y afines,194,Empleados de sala de juegos y afines,True,True
4444,Empleados de casas de empeño y de préstamos,195,Empleados de casas de empeño y de préstamos,True,True
4445,"Cobradores de facturas, deudas y empleados afines",195,"Cobradores de facturas, deudas y empleados afines",True,True
4446,Empleados de mostrador de correos,196,Empleados de mostrador de correos,True,True
4500,Empleados administrativos con tareas de atención al público no clasificados,196,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,True,True
5000,Camareros y cocineros propietarios,197,Camareros y cocineros propietarios,True,True
5110,Cocineros asalariados,198,Cocineros asalariados,True,True
5120,Camareros asalariados,199,Camareros asalariados,True,True
5210,Jefes de sección de tiendas y almacenes,200,Jefes de sección de tiendas y almacenes,True,True
5220,Vendedores en tiendas y almacenes,201,Vendedores en tiendas y almacenes,True,True
5300,Comerciantes propietarios de tiendas,202,Comerciantes propietarios de tiendas,True,True
5411,Vendedores en quioscos,202,Vendedores en quioscos,True,True
5412,Vendedores en mercados ocasionales y mercadillos,203,Vendedores en mercados ocasionales y mercadillos,True,True
5420,Operadores de telemarketing,204,Operadores de telemarketing,True,True
5430,Expendedores de gasolineras,205,Expendedores de gasolineras,True,True
5491,Vendedores a domicilio,205,Vendedores a domicilio,True,True
5492,Promotores de venta,206,Promotores de venta,True,True
5493,"Modelos de moda, arte y publicidad",206,"Modelos de moda, arte y publicidad",True,True
5499,Vendedores no clasificados bajo otros epígrafes,207,Vendedores no clasificados bajo otros epígrafes,True,True
5500,Cajeros y taquilleros (excepto bancos),207,Cajeros y taquilleros (excepto bancos),True,True
5611,Auxiliares de enfermería hospitalaria,208,Auxiliares de enfermería hospitalaria,True,True
5612,Auxiliares de enfermería de atención primaria,209,Auxiliares de enfermería de atención primaria,True,True
5621,Técnicos auxiliares de farmacia,209,Técnicos auxiliares de farmacia,True,True
5622,Técnicos de emergencias sanitarias,210,Técnicos de emergencias sanitarias,True,True
5629,Trabajadores de los cuidados a las personas en servicios de salud no clasifi-,211,Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes,True,True
5710,Trabajadores de los cuidados personales a domicilio,211,Trabajadores de los cuidados personales a domicilio,True,True
5721,Cuidadores de niños en guarderías y centros educativos,213,Cuidadores de niños en guarderías y centros educativos,True,True
5722,Cuidadores de niños en domicilios,213,Cuidadores de niños en domicilios,True,True
5811,Peluqueros,214,Peluqueros,True,True
5812,"Especialistas en tratamientos de estética, bienestar y afines",214,"Especialistas en tratamientos de estética, bienestar y afines",True,True
5821,"Auxiliares de vuelo y camareros de avión, barco y tren",215,"Auxiliares de vuelo y camareros de avión, barco y tren",True,True
5822,Revisores y cobradores de transporte terrestre,216,Revisores y cobradores de transporte terrestre,True,True
5823,Acompañantes turísticos,216,Acompañantes turísticos,True,True
5824,Azafatos de tierra,217,Azafatos de tierra,True,True
5825,Guías de turismo,218,Guías de turismo,True,True
5831,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establ e-",218,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",True,True
5832,Mayordomos del servicio doméstico,219,Mayordomos del servicio doméstico,True,True
5833,Conserjes de edificios,220,Conserjes de edificios,True,True
5840,Trabajadores propietarios de pequeños alojamientos,220,Trabajadores propietarios de pequeños alojamientos,True,True
5891,Asistentes personales o personas de compañía,221,Asistentes personales o personas de compañía,True,True
5892,Empleados de pompas fúnebres y embalsamadores,222,Empleados de pompas fúnebres y embalsamadores,True,True
5893,Cuidadores de animales y adiestradores,222,Cuidadores de animales y adiestradores,True,True
5894,Instructores de autoescuela,223,Instructores de autoescuela,True,True
5895,"Astrólogos, adivinadores y afines",223,"Astrólogos, adivinadores y afines",True,True
5899,Trabajadores de servicios personales no clasificados bajo otros epígrafes,224,Trabajadores de servicios personales no clasificados bajo otros epígrafes,True,True
5910,Guardias civiles,224,Guardias civiles,True,True
5921,Policías nacionales,225,Policías nacionales,True,True
